Title,Merge_Candidate,Area,Lon,Lat,EventVenueAddress,EventVenueFacilityName,EventVenueCity,EventVenueState,EventVenueZip,EventWebsite
Apple Knoll Farm,Apple Knoll Farm H.T.(Sep 2019),1,-70.572205,41.861244,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,02360,http://www.appleknoll.com/
Apple Knoll Farm,Apple Knoll Farm H.T.(Sep 2020),1,-70.572205,41.861244,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,02360,http://www.appleknoll.com/
Apple Knoll Farm  ,Apple Knoll Farm H.T.(Sep 2020),1,-70.572205,41.861244,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,02360,http://www.appleknoll.com/
Apple Knoll Farm  ,Apple Knoll Farm H.T.(Sep 2020),1,-70.572205,41.861244,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,02360,http://www.appleknoll.com/
Apple Knoll Farm  ,Apple Knoll Farm H.T.(Sep 2020),1,-70.572205,41.861244,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,02360,http://www.appleknoll.com/
Barnstaple South H.T,Barnstaple South Jackpot and 3-Phase (Sept. 24),3,-82.213234,29.403458,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686,http://barnstaplesouth.com
Midsouth Pony Club  ,Bath Pony Club Mini Trial,8,-84.5168,38.151688,4089 Iron Works Pkwy,Kentucky Horse Park,Lexington,KY,40511,https://midsouth.ponyclub.org/
Midsouth Pony Club  ,Bath Pony Club Mini Trial,8,-84.5168,38.151688,4089 Iron Works Pkwy,Kentucky Horse Park,Lexington,KY,40511,https://midsouth.ponyclub.org/
Blue Ridge Mountain at TIEC,Blue Ridge Mountain Horse Trials at TIEC(Sep 2019),2,-82.066895,35.282646,4066 Pea Ridge Rd,Tryon International Equestrian Center,Mill Spring,NC,28756,http://www.tryon.com
Blue Ridge Mountain   at TIEC,Blue Ridge Mountain Horse Trials at TIEC(Sep 2020),2,-82.066895,35.282646,4066 Pea Ridge Rd,Tryon International Equestrian Center,Mill Spring,NC,28756,http://www.tryon.com
Catalpa Corner Charity  ,Catalpa Corner Charity Horse Trial,4,-91.410169,41.714727,5365 Elmira Rd.,Catalpa Corner,Iowa City,IA,52240,http://www.catalpacorner.org
